city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Jamestown,US,42.097,-79.2353,33.03,72,100,6.91,overcast clouds
79,Katherine,AU,-14.4667,132.2667,93.52,46,85,5.75,overcast clouds
80,Tommot,RU,58.9564,126.2925,-19.62,98,100,1.97,overcast clouds
81,Hirara,JP,24.8,125.2833,66.47,88,75,35.68,broken clouds
82,Panguna,PG,-6.3164,155.4848,76.91,84,96,0.47,moderate rain
83,Mar Del Plata,AR,-38.0023,-57.5575,60.94,65,7,4.0,clear sky
84,Narrabri,AU,-30.3167,149.7833,81.52,27,0,5.01,clear sky
85,Narsaq,GL,60.9167,-46.05,10.89,65,8,7.34,clear sky
86,Port Alfred,ZA,-33.5906,26.891,69.19,93,48,3.0,scattered clouds
87,Alofi,NU,-19.0595,-169.9187,84.09,74,18,9.22,few clouds
88,Atuona,PF,-9.8,-139.0333,78.69,78,20,17.67,few clouds
89,Nikolskoye,RU,59.7035,30.7861,-0.96,98,17,3.62,few clouds
90,Sinnamary,GF,5.3833,-52.95,76.6,89,94,8.5,overcast clouds
91,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.34,73,47,7.72,scattered clouds
92,Cabo San Lucas,MX,22.8909,-109.9124,69.51,59,100,1.88,overcast clouds
93,Souillac,MU,-20.5167,57.5167,75.58,78,75,11.5,broken clouds
94,Taguatinga,BR,-12.3857,-46.5711,70.61,95,100,2.04,light rain
95,Avarua,CK,-21.2078,-159.775,78.85,94,75,12.66,light rain
96,Middelkerke,BE,51.1558,2.8418,30.25,81,0,8.05,clear sky
97,Port Hardy,CA,50.6996,-127.4199,37.58,100,100,3.44,overcast clouds
98,Betulia,CO,6.1128,-75.9838,60.37,97,79,3.0,broken clouds
99,Cayenne,GF,4.9333,-52.3333,73.44,100,75,0.0,broken clouds
100,Luderitz,NA,-26.6481,15.1594,66.81,92,100,1.66,light rain
101,Bilibino,RU,68.0546,166.4372,-4.76,100,49,5.28,scattered clouds
102,Necochea,AR,-38.5473,-58.7368,54.81,75,4,15.48,clear sky
103,Barentu,ER,15.1139,37.5928,65.57,74,1,4.68,clear sky
104,Batagay-Alyta,RU,67.8006,130.4114,-38.16,97,26,3.27,scattered clouds
105,Eyl,SO,7.9803,49.8164,71.8,75,2,11.48,clear sky
106,Iqaluit,CA,63.7506,-68.5145,20.93,79,100,5.75,overcast clouds
107,Barrow,US,71.2906,-156.7887,-11.18,77,40,8.05,scattered clouds
108,Kamenka,RU,51.3223,42.7678,30.99,90,100,11.99,overcast clouds
109,Kavaratti,IN,10.5669,72.642,80.89,67,86,6.29,overcast clouds
110,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,11,0,12.66,clear sky
111,Benguela,AO,-12.5763,13.4055,73.63,80,100,3.18,overcast clouds
112,Hanko,FI,59.8333,22.95,20.05,64,60,6.49,broken clouds
113,Ponta Do Sol,PT,32.6667,-17.1,62.71,76,25,1.41,scattered clouds
114,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,100,14.97,light snow
115,Asfi,MA,32.2994,-9.2372,61.32,78,15,1.72,few clouds
116,Mmabatho,ZA,-25.85,25.6333,66.79,78,91,5.12,overcast clouds
117,Ilulissat,GL,69.2167,-51.1,-1.59,86,100,7.65,overcast clouds
118,Sur,OM,22.5667,59.5289,72.77,55,2,6.15,clear sky
119,Manzhouli,CN,49.6,117.4333,-13.63,85,10,7.11,clear sky
120,Uaua,BR,-9.8414,-39.4817,75.85,50,63,7.96,broken clouds
121,Saskylakh,RU,71.9167,114.0833,-35.97,100,57,4.76,broken clouds
122,Astara,AZ,38.5,48.6667,44.58,90,99,1.1,overcast clouds
123,Batemans Bay,AU,-35.7167,150.1833,66.29,52,34,14.18,scattered clouds
124,Santa Teresa,VE,10.2341,-66.6631,75.42,97,18,1.59,few clouds
125,Tuy Hoa,VN,13.0833,109.3,75.83,90,100,11.72,moderate rain
126,Maldonado,UY,-34.6667,-54.9167,63.23,88,4,4.36,clear sky
127,Ust-Tsilma,RU,65.441,52.1498,15.69,94,96,7.72,overcast clouds
128,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.59,89,41,8.68,scattered clouds
129,Santa Marta,CO,11.2408,-74.199,84.25,65,20,8.05,few clouds
130,Faya,SA,18.3851,42.4509,46.92,42,25,4.59,scattered clouds
131,Vadlapudi,IN,14.3167,79.8,75.96,76,12,3.33,few clouds
132,Kununurra,AU,-15.7667,128.7333,91.38,58,75,5.75,broken clouds
133,Aracati,BR,-4.5617,-37.7697,78.51,74,40,10.94,scattered clouds
134,Mahebourg,MU,-20.4081,57.7,78.26,78,75,11.5,broken clouds
135,Odienne,CI,9.51,-7.5692,68.07,21,100,0.96,overcast clouds
136,Mana,GF,5.6592,-53.7767,76.01,90,100,7.63,overcast clouds
137,Kavieng,PG,-2.5744,150.7967,83.55,68,86,5.32,overcast clouds
138,Forio,IT,40.7342,13.8646,60.42,90,6,1.99,clear sky
139,Severo-Kurilsk,RU,50.6789,156.125,29.52,69,91,27.47,light snow
140,Kajaani,FI,64.2273,27.7285,23.05,86,100,10.36,overcast clouds
141,Campbell River,CA,50.0163,-125.2446,36.45,100,100,0.0,overcast clouds
142,Yellowknife,CA,62.456,-114.3525,-19.68,83,100,8.05,mist
143,Lompoc,US,34.6391,-120.4579,51.94,78,0,1.01,clear sky
144,Kembe,CF,4.6228,21.8865,68.05,54,55,3.56,broken clouds
