city_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
410,Sao Paulo De Olivenca,BR,72.48,overcast clouds,-3.3783,-68.8725,
411,Ormara,PK,71.53,clear sky,25.2088,64.6357,
421,Tabou,CI,78.1,broken clouds,4.423,-7.3528,
423,Sulangan,PH,82.27,scattered clouds,11.1373,123.7228,
427,Acapulco,MX,74.73,few clouds,16.8634,-99.8901,
430,Daru,PG,86.04,overcast clouds,-9.0763,143.2092,
433,Surin,TH,77.65,scattered clouds,14.8818,103.4936,
434,Lazaro Cardenas,MX,72.59,broken clouds,17.9583,-102.2,
435,Linhares,BR,70.61,broken clouds,-19.3911,-40.0722,
438,Maxixe,MZ,76.71,overcast clouds,-23.8597,35.3472,
440,Basco,PH,75.67,overcast clouds,20.4487,121.9702,
442,Accra,GH,79.25,light rain,5.556,-0.1969,
449,Humaita,BR,72.37,overcast clouds,-7.5061,-63.0208,
453,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,
455,Singkang,MY,84.07,broken clouds,2.1006,102.7994,
460,Saquarema,BR,70.9,few clouds,-22.92,-42.5103,
463,Port Blair,IN,82.11,overcast clouds,11.6667,92.75,
467,Palembang,ID,82.49,few clouds,-2.9167,104.7458,
474,Sungaipenuh,ID,78.42,overcast clouds,-2.0833,101.3833,
475,Balsas,BR,73.76,moderate rain,-7.5325,-46.0356,
479,Tezu,IN,73.0,scattered clouds,27.9167,96.1667,
480,Camocim,BR,77.41,clear sky,-2.9022,-40.8411,
481,Lhokseumawe,ID,81.61,broken clouds,5.1801,97.1507,
482,Lindi,TZ,74.23,overcast clouds,-10.0,39.7167,
493,Sao Joao Da Barra,BR,73.63,broken clouds,-21.6403,-41.0511,
495,Poya,NC,82.69,scattered clouds,-21.35,165.15,
496,Banda Aceh,ID,82.08,scattered clouds,5.5577,95.3222,
498,Pa Sang,TH,71.8,broken clouds,18.5262,98.9394,
500,Hambantota,LK,75.54,few clouds,6.1241,81.1185,
502,Kokopo,PG,81.36,light rain,-4.352,152.2633,
503,Hobyo,SO,76.8,few clouds,5.3505,48.5268,
507,Axim,GH,78.04,light rain,4.8699,-2.2405,
508,Ariquemes,BR,71.8,overcast clouds,-9.9133,-63.0408,
511,San Andres,CO,81.32,light rain,12.5847,-81.7006,
513,Ranong,TH,82.94,scattered clouds,9.9658,98.6348,
518,Yeppoon,AU,85.78,few clouds,-23.1333,150.7333,
519,Mae Sai,TH,75.49,few clouds,20.4335,99.8762,
520,Punta Cardon,VE,78.17,few clouds,11.6581,-70.215,
522,Amahai,ID,85.26,overcast clouds,-3.3333,128.9167,
526,Tan An,VN,82.42,overcast clouds,10.5333,106.4167,
529,Santa Rosa,PH,87.12,overcast clouds,14.3122,121.1114,
530,Aurangabad,IN,73.98,few clouds,19.8833,75.3333,
535,Kokoda,PG,79.34,overcast clouds,-8.8785,147.7407,
536,Ugoofaaru,MV,81.43,overcast clouds,5.6667,73.0,
537,Takoradi,GH,77.99,light rain,4.8845,-1.7554,
540,Mahanoro,MG,74.79,overcast clouds,-19.9,48.8,
541,Belmonte,BR,76.03,moderate rain,-15.8631,-38.8828,
542,Kapoeta,SS,76.46,clear sky,4.7717,33.5903,
551,Vung Tau,VN,80.38,moderate rain,10.346,107.0843,
561,Makurdi,NG,74.05,overcast clouds,7.7411,8.5121,
566,Pangkalanbuun,ID,85.64,broken clouds,-2.6833,111.6167,
573,Harper,LR,78.51,overcast clouds,4.375,-7.7169,
574,Port Moresby,PG,85.06,broken clouds,-9.4431,147.1797,
576,Sorong,ID,81.01,overcast clouds,-0.8833,131.25,
577,Murray Bridge,AU,77.13,clear sky,-35.1167,139.2667,
579,Pozo Colorado,PY,74.32,clear sky,-23.4923,-58.7972,
583,Caravelas,BR,72.81,moderate rain,-17.7125,-39.2481,
585,Pandan,PH,82.2,overcast clouds,14.0453,124.1694,
587,Kupang,ID,75.78,heavy intensity rain,-10.1667,123.5833,
592,Tecolutilla,MX,73.27,few clouds,18.2833,-93.3167,
593,Road Town,VG,78.89,clear sky,18.4167,-64.6167,
594,Papara,BR,79.2,overcast clouds,-3.9839,-38.7273,
595,Santarem,BR,75.33,few clouds,-2.4431,-54.7083,
596,Ipu,BR,74.62,broken clouds,-4.3222,-40.7108,
603,Grand-Lahou,CI,77.54,light rain,5.1367,-5.0242,
606,Ubud,ID,81.72,overcast clouds,-8.5098,115.2654,
607,Maputo,MZ,78.48,drizzle,-25.9653,32.5892,
611,Samarai,PG,83.73,overcast clouds,-10.6167,150.6667,
614,Beloha,MG,76.69,scattered clouds,-25.1667,45.05,
615,Fayaoue,NC,80.78,clear sky,-20.65,166.5333,
622,Champasak,LA,87.87,broken clouds,14.75,106.0,
624,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,
626,Ixtapa,MX,70.83,scattered clouds,20.7,-105.2,
634,Boyolangu,ID,84.65,broken clouds,-8.1181,111.8935,
637,Poso,ID,84.97,overcast clouds,-1.3959,120.7524,
638,Ahuimanu,US,78.51,thunderstorm,21.4447,-157.8378,
639,Wahiawa,US,75.52,light rain,21.5028,-158.0236,
642,Kampong Thum,KH,86.7,broken clouds,12.7111,104.8887,
644,Aden,YE,76.8,clear sky,12.7794,45.0367,
646,Abapo,BO,70.36,overcast clouds,-18.8333,-63.4667,
647,Diamantino,BR,70.63,light rain,-14.4086,-56.4461,
648,Bontang,ID,76.96,light rain,0.1333,117.5,
